"collection_type","collection_year","cruise_number","date_collected","final_age","length","read_age","readability","region","sex","species_code","specimen","test_age","vessel_code","weight","description","common_name"
"survey",2018,201801,"2018-06-03 06:34:48",1,130,1,1,"Bering Sea",3,21740,1,NA,162,12,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 06:34:48",1,130,1,1,"Bering Sea",3,21740,2,NA,162,12,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 06:34:48",1,140,1,1,"Bering Sea",3,21740,3,NA,162,14,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 06:34:48",2,210,2,2,"Bering Sea",2,21740,4,NA,162,56,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 09:31:22",5,500,6,2,"Bering Sea",1,21740,5,5,162,750,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 09:31:22",6,490,6,2,"Bering Sea",1,21740,6,NA,162,730,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 09:31:22",8,480,8,2,"Bering Sea",1,21740,7,NA,162,835,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 09:31:22",1,150,1,1,"Bering Sea",3,21740,8,NA,162,15,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 12:18:42",7,540,7,2,"Bering Sea",2,21740,9,NA,162,1080,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 12:18:42",6,540,7,2,"Bering Sea",2,21740,10,6,162,1050,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 12:18:42",8,480,8,2,"Bering Sea",1,21740,11,NA,162,680,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 12:18:42",1,140,1,1,"Bering Sea",3,21740,12,NA,162,30,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 14:57:29",10,520,10,2,"Bering Sea",2,21740,13,NA,162,845,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 14:57:29",6,570,6,2,"Bering Sea",2,21740,14,NA,162,1125,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 14:57:29",8,540,8,2,"Bering Sea",1,21740,15,8,162,995,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-03 14:57:29",9,550,9,2,"Bering Sea",1,21740,16,NA,162,1180,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 06:33:12",6,530,6,2,"Bering Sea",1,21740,17,NA,162,1005,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 06:33:12",11,570,11,2,"Bering Sea",2,21740,18,NA,162,1040,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 06:33:12",6,540,6,2,"Bering Sea",2,21740,19,NA,162,1055,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 09:45:37",6,540,6,2,"Bering Sea",1,21740,20,6,162,990,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 09:45:37",9,470,9,2,"Bering Sea",1,21740,21,NA,162,635,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 09:45:37",10,550,10,2,"Bering Sea",2,21740,22,NA,162,980,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 12:39:27",10,500,10,2,"Bering Sea",1,21740,23,NA,162,815,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 12:39:27",8,560,8,2,"Bering Sea",2,21740,24,NA,162,1100,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 12:39:27",6,520,7,2,"Bering Sea",2,21740,25,6,162,835,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 15:25:38",7,520,7,1,"Bering Sea",2,21740,26,NA,162,815,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 15:25:38",6,480,6,2,"Bering Sea",2,21740,27,NA,162,670,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 15:25:38",9,460,9,2,"Bering Sea",1,21740,28,NA,162,555,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
