"date_released","f_size","ave_test_age","percent_agree","cv","area","common_name"
"2007-06-12",985,5.41,75.8,3.51,"GOA","WALLEYE POLLOCK"
"2001-01-02",269,5.56,83.3,2,"SHELIKOF","WALLEYE POLLOCK"
"2023-01-12",533,4.12,93.4,1.25,"BS","WALLEYE POLLOCK"
"2022-01-04",420,5,73.8,3.66,"GOA","WALLEYE POLLOCK"
"2002-09-24",280,4.3,82.1,2.8,"SHEILIKOF","WALLEYE POLLOCK"
"2022-01-18",392,2.68,84.4,4,"GOA","WALLEYE POLLOCK"
"2003-10-22",280,3.61,69.6,6.72,"GOA","WALLEYE POLLOCK"
"2020-07-27",384,NA,NA,NA,"GOA","WALLEYE POLLOCK"
"2002-06-27",268,5.3,77.8,3.3,"GOA","WALLEYE POLLOCK"
"2019-08-01",595,5.76,76.7,2.86,"GOA","WALLEYE POLLOCK"
"2014-08-01",497,5.77,64,5.72,"Shelikof","WALLEYE POLLOCK"
"2014-01-27",505,4.55,75.2,3.42,NA,"WALLEYE POLLOCK"
"2000-03-29",420,4.83,68.9,4.5,"610,620,630","WALLEYE POLLOCK"
"2011-07-12",575,3.63,73.5,4.93,"GOA","WALLEYE POLLOCK"
"2001-02-18",118,5.83,87,1.4,"649,640,621","WALLEYE POLLOCK"
"2020-07-21",477,NA,NA,NA,"BS","WALLEYE POLLOCK"
"2005-07-25",552,4.41,78.4,3.35,"GOA","WALLEYE POLLOCK"
"2003-06-25",303,3.5,71.7,5.52,"GOA","WALLEYE POLLOCK"
"2019-09-10",140,5.04,50,6.76,"BS","WALLEYE POLLOCK"
"2022-01-04",420,3.19,92.9,1.33,"GOA","WALLEYE POLLOCK"
"2022-08-22",349,4.27,77.8,4.13,"GOA","WALLEYE POLLOCK"
"2019-08-12",280,5.93,62,5.34,"GOA","WALLEYE POLLOCK"
"2012-08-07",469,5.41,66.1,4.73,"GOA","WALLEYE POLLOCK"
"2010-06-09",1023,4.4,77.4,3.7,"GOA","WALLEYE POLLOCK"
"2003-04-16",264,4.62,55.8,8,"KODIAK","WALLEYE POLLOCK"
"2001-01-02",269,5.82,88.3,1.8,"SHELIKOF","WALLEYE POLLOCK"
"2005-07-25",567,4.55,76.8,4.12,"GOA","WALLEYE POLLOCK"
"2002-01-18",252,4.96,78,2.6,"KODIAK","WALLEYE POLLOCK"
"2023-01-12",525,4.62,76.9,3.36,"BS","WALLEYE POLLOCK"
"2001-01-02",262,3.71,84.6,2.7,"SHELIKOF","WALLEYE POLLOCK"
"2001-01-25",128,7.81,61.5,3.4,"610,631","WALLEYE POLLOCK"
"2019-08-01",567,5.48,82.1,2.26,"GOA","WALLEYE POLLOCK"
NA,174,NA,NA,NA,"BS","WALLEYE POLLOCK"
"2019-09-10",140,5.54,67.9,4.21,"BS","WALLEYE POLLOCK"
"2012-02-28",495,4.11,80,3.45,"GOA","WALLEYE POLLOCK"
"2015-09-29",180,5.41,44.4,9.45,"GOA","WALLEYE POLLOCK"
"2002-06-27",209,6.38,66.7,3.5,"GOA","WALLEYE POLLOCK"
"2006-10-12",140,5.93,71.4,3.96,"Sheilikof","WALLEYE POLLOCK"
"2003-06-02",311,4.7,75.2,4.85,"Sheilikof","WALLEYE POLLOCK"
"2012-08-30",678,5,66.3,6.03,"GOA","WALLEYE POLLOCK"
"2014-08-01",477,4.56,68.8,4.69,"Shelikof","WALLEYE POLLOCK"
"2019-09-10",420,4.7,89.2,1.41,"GOA","WALLEYE POLLOCK"
"2020-03-02",420,3.51,89.3,1.32,"GOA","WALLEYE POLLOCK"
"2020-07-21",454,NA,NA,NA,"BS","WALLEYE POLLOCK"
"2001-04-25",300,6.14,68.4,4.4,"630,610,","WALLEYE POLLOCK"
"2022-07-28",432,3.84,90.7,1.57,"BS","WALLEYE POLLOCK"
